"experience","count"
"college_none",24
"college_public",219
"college_private",145
"college_elite",46
"edu_med",21
"edu_law",159
"edu_masters",148
"edu_doctorate",21
"work_bluecollar",16
"work_business",159
"work_education",60
"work_farming",22
"work_lawenforcement",12
"work_lobbying",17
"work_media",20
"work_medicine",27
"work_military",77
"work_nonprofits",51
"work_privatelaw",127
"work_realestate",24
"work_religiousleader",6
"work_science",14
"work_sports",8
"gov_fedstate",62
"gov_local",141
"gov_none",105
"gov_publiclawyerjudge",60
"gov_stateleg",199
